master_seq,isbn13,vol,title,author,publisher,pub_date,add_code,price,img_url,description,kdc_class_no,title_replace,author_replace,pub_date_2,is_coll_aladin,is_coll_naver,isbn_origin
5845705,9791165791735,,살아 있는 세계 역사 박물관 - 내 손으로 뚝딱 만드는 팝업북,"클라우디아 마틴 (지은이), 마이크 러브 (그림), 우순교 (옮긴이)",시공주니어,,,21000.0,https://image.aladin.co.kr/product/25955/16/cover/k632737805_1.jpg,"네버랜드 팝업북 시리즈. 유물 팝업 만들기, 전시물 끼우기 같은 적극적인 활동을 이끌어 내는 액티비티 북이다. 동시에 세계 고대 문명에 관한 여러 가지 지식들을 재미있고 쉽게 알려 주는 정보 그림책이다.",,,,2020-12-30,,,
5845706,9791196852962,,"괜찮아, 오늘 하루 - 일상이 빛이 된다면",도진호 (지은이),오도스(odos),,,14900.0,https://image.aladin.co.kr/product/25944/92/cover/k922737702_1.jpg,사진을 통해 일상을 기록한 일기 같은 에세이이다. 감정을 전달하기 위한 화려한 수식이나 복잡한 문법이 아니라 담백한 흑백사진 하나를 통해 일상의 소중함을 잘 표현한다. 그리고 짤막하게 자신의 감정을 일기처럼 기록했다.,,,,2021-01-02,,,
5845711,9791165821012,,자존감 UP 격려카드 최신개정판 - 나를 사랑하는 방법·자존감 높이기 수업 활동지,(주)한국콘텐츠미디어 (부설)한국진로교육센터 (지은이),한국콘텐츠미디어(매일넷앤드비즈),,,14500.0,https://image.aladin.co.kr/product/25168/98/cover/k502633494_1.jpg,"성별과 나이 구분 없이 누구나 위로와 응원이 필요할 때, 매일 하루를 시작하고 마무리할 때 좋은 격려 문구 50종 카드이다. 또한 상상력을 자극하는 사진이 있어서 “이미지 카드”로 사용할 수 있다. 자존감 수업 활동지 12p를 함께 제공하며 카페 자료실에서 온라인 수업 자료를 받을 수 있다.",372.0,자존감up격려카드최신개정판나를사랑하는방법·자존감높이기수업활동지,주한국콘텐츠미디어부설한국진로교육센터지은이,2020-08-20,Y,Y,
5845712,9791165821128,,롤모델 진로카드 : 10대를 위한 다중지능 역할모델 80인 - 진로고민·성역할 고정관념·직업편견·진로장벽 극복 사례,(주)한국콘텐츠미디어 (부설)한국진로교육센터 (지은이),한국콘텐츠미디어(매일넷앤드비즈),,40370.0,19800.0,https://image.aladin.co.kr/product/25229/40/cover/k072633902_1.jpg,"노벨상을 받은 마리퀴리, 넬슨 만델라부터 10대들이 좋아하는 BTS, 아이유, 손흥민까지 꿈을 이룬 유명인사의 장애물 극복 스토리를 담은 카드이다. 역할모델 80인 카드와 9page 활동지를 함께 구성했다. 카페 자료실에서 온라인 수업 자료를 받을 수 있다.",372.0,롤모델진로카드10대를위한다중지능역할모델80인진로고민·성역할고정관념·직업편견·진로장벽극복사례,주한국콘텐츠미디어부설한국진로교육센터지은이,2020-09-07,Y,Y,
5845728,9788968571657,,소보루의 소소한 취미생활 - 색연필 일러스트 컬러링북,소보루(김주현) (지은이),미디어샘,,,15000.0,https://image.aladin.co.kr/product/25647/69/cover/8968571651_1.jpg,"쿠키, 커피포트, 컵케이크, 꽃 등 일상에서 쉽게 볼 수 있는 아이템들을 색연필로 예쁘게 그릴 수 있는 컬러링북이다. 작가 소보루는 SNS와 온오프라인에서 색연필 일러스트를 그리며 활발하게 활동하고 있다.",651.0,소보루의소소한취미생활색연필일러스트컬러링북,소보루김주현지은이,2020-11-30,Y,Y,
5845739,9780572022631,,The American Indian Secrets of Crystal Healing (Paperback),Luc Bourgault (지은이),Foulsham & Co Ltd,,,19373.0,https://image.aladin.co.kr/product/107/51/cover/0572022638_2.jpg,"[해외주문원서] 고객님의 요청으로 수입 주문하는 도서이므로, 주문취소 및 반품이 불가합니다. (단, 재고부족인 경우는 가능)",,theamericanindiansecretsofcrystalhealingpaperback,lucbourgault지은이,1996-09-30,Y,Y,
5845780,9788955030304,,'99 전국교통혼잡비용 산출과 추이분석,김동효,교통개발연구원,,93530.0,,,,,99전국교통혼잡비용산출과추이분석,김동효,,Y,Y,
5845781,9788987730484,,自動車檢査制度의 費用·效果·分析,薛載勳,교통개발연구원,,93320.0,,,,,自動車檢査制度의費用·效果·分析,薛載勳,,Y,Y,
5845782,9788955030290,,중기교통시설 투자계획 수립에 관한 연구,김수철,교통개발연구원,,93320.0,,,,,중기교통시설투자계획수립에관한연구,김수철,,Y,Y,
5845783,9788987730611,,교통수요의 근원적 감축방안을 위한 기초연구,황상규,교통개발연구원,,93320.0,,,,,교통수요의근원적감축방안을위한기초연구,황상규,,Y,Y,
